sku,upc,name_en,name_kr,item_volume,volume_unit,desc_en,desc_kr,category,note,uom,box_price,pack_price,unit_price,units_per_box,zone_type,min_stock_qty,shelf_life_days,image_url,is_active,manufacturer_id,supplier_id
NDL-003,31146013524,Shin Ramyeon Single [Black],?????[??],,oz,Black Single,?? ??,Ramyun,,EA,,,2.69,,A,200,365,,TRUE,,
NDL-004,,Shin Ramyeon Single,?????,,oz,Shin Ramyeon Single,?????,Ramyun,,EA,,,1.69,,A,200,365,,TRUE,,
NDL-005,31146270606,Shin Cups,????,,oz,Original,????,Cup-myun,,BOX,10.74,,1.79,,A,20,365,,TRUE,,
NDL-006,31146014408,Shin Cups [Black],????[??],,oz,Black,??,Cup-myun,,BOX,15.3,,2.55,,A,20,365,,TRUE,,
NDL-007,31146262441,Shin Bowl,????,3.3,oz,Original,????,Cup-myun,,BOX,17.88,,1.49,,A,20,365,,TRUE,,
NDL-008,8801073140578,Buldak Ramyeon [Multi 5pk],????[??5?],,oz,Original Hot Chicken,????,Ramyun,,BOX,57.52,,7.19,,A,10,365,,TRUE,,
NDL-009,8801073142312,Buldak Ramyeon [Multi 5pk],????[??5?],,oz,Carbonara,?????,Ramyun,,BOX,57.52,,7.19,,A,10,365,,TRUE,,
NDL-010,8801073143203,Buldak Ramyeon [Multi 5pk],????[??5?],,oz,Cream Carbonara,???????,Ramyun,,BOX,57.52,,7.19,,A,10,365,,TRUE,,
NDL-011,,Buldak Ramyeon [Multi 5pk],????[??5?],,oz,2x Spicy,2x ????,Ramyun,,BOX,57.52,,7.19,,A,10,365,,TRUE,,
NDL-012,8801073141780,Buldak Ramyeon [Multi 5pk],????[??5?],,oz,Cheese,??,Ramyun,,BOX,57.52,,7.19,,A,10,365,,TRUE,,
NDL-013,192699000864,Buldak Ramyeon [Multi 5pk],????[??5?],,oz,Rose,??,Ramyun,,BOX,57.52,,7.19,,A,10,365,,TRUE,,
NDL-014,,Buldak Ramyeon [Multi 5pk],????[??5?],,oz,Quatro,???,Ramyun,,BOX,57.52,,7.19,,A,10,365,,TRUE,,
NDL-015,,Buldak Ramyeon [Multi 5pk],????[??5?],,oz,Habanero,????,Ramyun,,BOX,57.52,,7.19,,A,10,365,,TRUE,,
NDL-016,8801073110502,Buldak Ramyeon [Single],????[??],,oz,Original,????,Ramyun,,EA,,,1.69,,A,10,365,,TRUE,,
NDL-017,8801073113893,Buldak Ramyeon [Single],????[??],4.93,oz,Carbonara,?????,Ramyun,,EA,,,1.69,,A,10,365,,TRUE,,
NDL-018,8801073113312,Buldak Ramyeon [Single],????[??],,oz,Cheese,??,Ramyun,,EA,,,1.69,,A,10,365,,TRUE,,
NDL-019,8801073113428,Buldak Ramyeon [Single],????[??],,oz,2x Spicy,2x ????,Ramyun,,EA,,,1.69,,A,10,365,,TRUE,,
NDL-020,192699000857,Buldak Ramyeon [Single],????[??],,oz,Rose,??,Ramyun,,EA,,,1.69,,A,10,365,,TRUE,,
NDL-021,8801073115514,Buldak Ramyeon [Single],????[??],4.76,oz,Hananero Lime,????,Ramyun,,EA,,,1.69,,A,10,365,,TRUE,,
